Time,Temperature,dT_dt
0,86,0.000338352224665877
296,86.1,0.000322372662798195
801,86.2,0.000334840113845639
1039,86.3,0.000335626783017285
1306,86.4,0.000336473755047106
1663,86.5,0.000344649319317594
1932,86.6,0.000334672021419009
2161,86.7,0.000333722676455865
2418,86.8,0.000336587007741501
2903,86.9,0.000339097999321804
3152,87,0.000342172797262618
3400,87.1,0.000343288705801579
3638,87.2,0.000334560053529609
3988,87.3,0.000341471743213249
4247,87.4,0.000342348510783978
4449,87.5,0.000339040515341583
4947,87.6,0.000354170355941208
5187,87.7,0.000354170355941208
5411,87.8,0.000352112676056338
5638,87.9,0.000349406009783368
5911,88,0.000348432055749129
6500,88.1,0.00036556388228843
6774,88.2,0.000363967242948135
6998,88.3,0.000358615743231128
7250,88.4,0.000355239786856128
7466,88.5,0.000345006037605658
7908,88.6,0.000354233085370174
8154,88.7,0.000350692617920393
8360,88.8,0.000345303867403315
8801,88.9,0.000354421407052986
8997,89,0.000349040139616056
9226,89.1,0.000354609929078014
9616,89.2,0.000366905155017428
9845,89.3,0.000351926799225761
10089,89.4,0.000350262697022767
10348,89.5,0.000346620450606586
10594,89.6,0.000343347639484979
10834,89.7,0.000352360817477097
11091,89.8,0.000353045013239188
11362,89.9,0.000350508236943568
11651,90,0.000348796651552145
11971,90.1,0.000352733686067019
12269,90.2,0.000352609308885755
12575,90.3,0.000355176700408453
12880,90.4,0.000373343289154377
13263,90.5,0.000382628658886551
13554,90.6,0.000381679389312977
13857,90.7,0.00038677238445175
14152,90.8,0.000388123423248593
14444,90.9,0.000375869197519263
14727,91,0.000374742364624321
14866,91.1,0.000364497904137051
15067,91.2,0.00035880875493362
15528,91.3,0.000373064726730088
15799,91.4,0.000376931775348662
16118,91.5,0.000390167772142021
16419,91.6,0.000396196513470681
16510,91.7,0.000379506641366224
16756,91.8,0.000374882849109653
17068,91.9,0.000370851103282032
17385,92,0.000390777647518562
17641,92.1,0.00038602586373287
17941,92.2,0.00038306837770542
18206,92.3,0.000401123144805455
18237,92.4,0.000379939209726444
18490,92.5,0.000362515860068878
18794,92.6,0.000363768643142961
19028,92.7,0.000361859960195404
19305,92.8,0.000365230094959825
19765,92.9,0.000386398763523957
20064,93,0.000400641025641026
20353,93.1,0.000401767778224186
20641,93.2,0.000402333534500101
20889,93.3,0.000389256520046711
21105,93.4,0.000401445202729827
21244,93.5,0.000393159032828779
21467,93.6,0.000389029371717565
21780,93.7,0.000389483933787731
22091,93.8,0.000397930760047752
22461,93.9,0.000426257459505541
22503,94,0.000404203718674212
22822,94.1,0.000399680255795364
23162,94.2,0.000406091370558376
23192,94.3,0.000386174937246573
23501,94.4,0.000408496732026144
24007,94.5,0.000431872165838912
24292,94.6,0.000432432432432432
24555,94.7,0.000433369447453954
24781,94.8,0.000432152117545376
24941,94.9,0.000432245515452777
25056,95,0.000431965442764579
25331,95.1,0.000431034482758621
25612,95.2,0.000431965442764579
26027,95.3,0.000457038391224863
26087,95.4,0.000446827524575514
26331,95.5,0.000439077936333699
26608,95.6,0.000463284688441047
26915,95.7,0.000456412596987677
27117,95.8,0.00046264168401573
