Temperature,DSC_an,DSC_anele,DSC_caan,DSC_ca,DSC_caele
73,-0.0407333584338253,-0.374298906839121,-0.120466162710162,-0.0742288096149187,-0.509367385830729
73.1,-0.0401624458861074,-0.356166705828091,-0.120794416342199,-0.0741895764898317,-0.49507
73.2,-0.040038617221748,-0.338774423218515,-0.120869102513491,-0.0741604868788254,-0.481455674309365
73.3,-0.0399540811735685,-0.322458666731366,-0.120697065736685,-0.0741400423601624,-0.46838565940872
73.4,-0.039892391381013,-0.30745001688646,-0.120406552285126,-0.0741273513306104,-0.455922000240451
73.5,-0.039853493316218,-0.293434262647835,-0.120115449397373,-0.074119350995207,-0.444126741746955
73.6,-0.0398367886607112,-0.280185103746323,-0.119941644311989,-0.074111583785247,-0.432986908235173
73.7,-0.0398302583204956,-0.267506066082469,-0.119964627184334,-0.0740995921320256,-0.422352770618044
73.8,-0.0398266097232736,-0.255202250093237,-0.120110294498687,-0.0740623410228982,-0.41227048210923
73.9,-0.0398226707943391,-0.243290607593556,-0.120324414924976,-0.0739395531400035,-0.402798663771999
74,-0.039815269458986,-0.23182071673023,-0.120557295962523,-0.0737786762018731,-0.393979669273575
74.1,-0.0396942483534609,-0.220733114729315,-0.120763327910693,-0.0736404558319559,-0.385717341260068
74.2,-0.0393384993429577,-0.209968338816866,-0.12100238345,-0.0735858316302527,-0.377907921960917
74.3,-0.0389124814902731,-0.199427111248996,-0.121262540601532,-0.0737244984575237,-0.370457568330409
74.4,-0.038587590731036,-0.189020701307438,-0.121479026420571,-0.0740207207338558,-0.363272437322825
74.5,-0.0385325734873531,-0.178949384437714,-0.1215870679624,-0.0743392577304412,-0.356332311986846
74.6,-0.0387834163159711,-0.169435166607685,-0.121541264627742,-0.074544868718472,-0.349670707741289
74.7,-0.0391848124744519,-0.160682575276662,-0.121390713692762,-0.0745397255953502,-0.343262722916606
74.8,-0.0395666452058882,-0.152542597323421,-0.121209495887028,-0.0744189572448152,-0.337083395749804
74.9,-0.0397587977533733,-0.144876172600329,-0.121071507284647,-0.0742558979717696,-0.331093175654667
75,-0.0397079795401015,-0.137625499605096,-0.121053454125798,-0.0741146249315326,-0.325250198511168
75.1,-0.0395618426991586,-0.130732776835432,-0.121212250265381,-0.0740590351123632,-0.319606099443823
75.2,-0.0393890856936548,-0.124201873569433,-0.121477364084874,-0.0740831976182608,-0.314219451588002
75.3,-0.0392571013452632,-0.118040659706346,-0.121756897057146,-0.0741417777083323,-0.309147978215163
75.4,-0.0392953365273459,-0.11213413206138,-0.121958950655066,-0.0742224032075473,-0.30434260873443
75.5,-0.0402445195872472,-0.106365745007093,-0.12204807810531,-0.0743127019408755,-0.29976150930297
75.6,-0.0418280977413217,-0.100618559615488,-0.122104039267697,-0.0744054478132246,-0.295426758257034
75.7,-0.0434371869774398,-0.094832749069103,-0.122151010410483,-0.0745176547571976,-0.291360433932876
75.8,-0.0444629032834715,-0.0891157205844986,-0.122211063078474,-0.0746517940382357,-0.287566689389936
75.9,-0.0447561748071581,-0.0836019547951558,-0.122307858312158,-0.0748075489963696,-0.283997959111987
76,-0.0449796718700046,-0.0784259323345594,-0.122542483641628,-0.0749846029716299,-0.280613598087004
76.1,-0.0451477619461845,-0.0736686760022028,-0.122909523560118,-0.0752023776732305,-0.277373573889588
76.2,-0.0452500642715325,-0.0692104471376352,-0.123331285885697,-0.0754723296670317,-0.274240731470541
76.3,-0.0452723578368412,-0.0649808294812857,-0.123730078436435,-0.0757808650649551,-0.271227103302039
76.4,-0.0450885261508261,-0.0609170376044673,-0.124114571554573,-0.0761143877436845,-0.268330057163068
76.5,-0.0447530424686925,-0.0569560073181683,-0.124559968572266,-0.0764827863216525,-0.26553322794895
76.6,-0.0444183208568912,-0.0530446099256972,-0.124978212923877,-0.07700110095246,-0.262820250555008
76.7,-0.0442367753818729,-0.0492302762925044,-0.125277557356429,-0.0775695648234682,-0.260157569852918
76.8,-0.0442932698815388,-0.0455906353950682,-0.125365853680758,-0.0780468912441947,-0.257524301326905
76.9,-0.0444812744177691,-0.0422033162098654,-0.1251852817938,-0.0782917935241575,-0.254981842873274
77,-0.0447128417872113,-0.0391118866557224,-0.12484471950164,-0.0782760174111216,-0.25259492932458
77.1,-0.0449017089538022,-0.0362308760603137,-0.124492306068354,-0.078197052871513,-0.250427053536613
77.2,-0.0449598515373173,-0.0335225018817011,-0.124276180758017,-0.0781029684321245,-0.248469499330539
77.3,-0.0447665379478545,-0.0309559310359711,-0.124328504060549,-0.0780351884759148,-0.246657038986452
77.4,-0.0443948154979918,-0.0285002345182899,-0.124624346336888,-0.0780744413276021,-0.244933832221104
77.5,-0.0439939803052186,-0.0261289826525084,-0.125050301078052,-0.0784337567391288,-0.24324403875125
77.6,-0.0437133284870245,-0.0238537044191026,-0.125492020549006,-0.0789805867190166,-0.241524331398681
