Temperature,DSC_an,DSC_anele,DSC_caan,DSC_ca,DSC_caele
73,-0.00355180111358916,-0.301766342900755,-0.0963294107289105,-0.127527451058398,-0.817514542137157
73.1,-0.00331495182556475,-0.297585885119146,-0.0963328736970642,-0.127678527411173,-0.790219941888419
73.2,-0.00308774368461871,-0.293934662205049,-0.096330769279408,-0.12786480445216,-0.764362198316214
73.3,-0.00291988416657328,-0.290853001498771,-0.0963279931836563,-0.128225889070405,-0.739870416731632
73.4,-0.00284598149887383,-0.288129108045348,-0.096325703475491,-0.128648922328835,-0.71657991333185
73.5,-0.00280918601975774,-0.285568430934081,-0.0963252614612954,-0.128967598658296,-0.694312598887807
73.6,-0.00278308379222874,-0.282976419254265,-0.096332359179318,-0.129033666347447,-0.67289087641901
73.7,-0.0027506791539101,-0.280279106145543,-0.096345142074453,-0.128961142578125,-0.652209304777747
73.8,-0.00269212094778768,-0.27761538096932,-0.0963581956923077,-0.128847627296457,-0.632298657387913
73.9,-0.00248241374463733,-0.274939741851457,-0.0963661055784893,-0.128743727307809,-0.613203543227583
74,-0.00215776753155673,-0.272199141111188,-0.0963388824981002,-0.128700118087992,-0.59496857127484
74.1,-0.00185067692316203,-0.269258910197372,-0.0962278858366538,-0.128817209058012,-0.577537861027158
74.2,-0.00169363653406938,-0.265880392009938,-0.0960857307972222,-0.129069861808899,-0.560767135890962
74.3,-0.00190065022080138,-0.262495725135204,-0.0959710182743081,-0.129333707734352,-0.544704595457211
74.4,-0.00249691459811237,-0.259612580749015,-0.0959294923590612,-0.129484378228074,-0.529403327247288
74.5,-0.00320723089777589,-0.257699089204644,-0.0959122850901595,-0.129428186999285,-0.514905147009607
74.6,-0.00375342369941978,-0.256459424953595,-0.0959006258847962,-0.129230564643908,-0.501112014241788
74.7,-0.00384096360422392,-0.25549493904602,-0.095887893712689,-0.129000409777104,-0.487953562763707
74.8,-0.0031654572333366,-0.254538447667803,-0.0958674675435558,-0.128846164103627,-0.47538567538849
74.9,-0.00206543091672382,-0.253322767004831,-0.0958127306148194,-0.128941620444296,-0.463364236058464
75,-0.00102056820887776,-0.251609528831006,-0.0957212248285656,-0.129475099475614,-0.451850560951939
75.1,-0.000510552664290108,-0.249490218323879,-0.0956275079341055,-0.130177218243634,-0.440815352336022
75.2,-0.000611865967118399,-0.247210505781361,-0.095566162987901,-0.130741359045262,-0.430228908721242
75.3,-0.000887146530817042,-0.245016234607136,-0.0955630701310148,-0.130872678136119,-0.420061528618132
75.4,-0.00121056313689017,-0.243035756068425,-0.0955896731589843,-0.130599168881327,-0.410257427068366
75.5,-0.00145869003565963,-0.240978775296758,-0.0956261577224252,-0.130137114204894,-0.400743997465568
75.6,-0.0015194608863485,-0.239031189508153,-0.0956568388443988,-0.129673712020346,-0.39160874790662
75.7,-0.00148551898071691,-0.237446036884088,-0.0956663697332525,-0.129384346361156,-0.382952116786187
75.8,-0.0014154048875373,-0.236447476737861,-0.0956556794482532,-0.129172068344411,-0.374864668132343
75.9,-0.00131649574036225,-0.235820225940316,-0.095631692201555,-0.128983662512233,-0.36725682637265
76,-0.00119616867274438,-0.235343604717859,-0.0955972070845482,-0.128847078792836,-0.360040713356797
76.1,-0.000936356314063304,-0.234870086207907,-0.0955550231886229,-0.128790267114433,-0.353165356176361
76.2,-0.000461546078737699,-0.234252143547876,-0.0954957597834856,-0.128939405958314,-0.34657978192292
76.3,5.67435674649105e-05,-0.233347711742356,-0.095372603509769,-0.129317827789546,-0.340233566067854
76.4,0.000445168850126751,-0.232213646945676,-0.0952166693078677,-0.129740017546464,-0.334117970458584
76.5,0.000616224499185004,-0.231008079736665,-0.0950700988012442,-0.130019728736788,-0.328260613776111
76.6,0.000727361417020744,-0.229889173873367,-0.0949721919386924,-0.130049460759798,-0.322689821277745
76.7,0.000815273031848945,-0.228970086801208,-0.0948941729007235,-0.13004682768228,-0.317434229969079
76.8,0.000906279970951321,-0.228148621078209,-0.0948233741499292,-0.130043371929728,-0.312501780870218
76.9,0.00102700184929251,-0.227378037476936,-0.0947696790048283,-0.130040645719187,-0.307825990194832
77,0.00122718126306803,-0.226624917991302,-0.0947429707839397,-0.13004454846715,-0.303326815850615
77.1,0.00147866260704826,-0.225857671635579,-0.0947617952049812,-0.130103951032186,-0.29892421574526
77.2,0.00170910670177812,-0.225123559315718,-0.0948346203415273,-0.130214585238158,-0.294504725132634
77.3,0.00184617436780242,-0.224411766019494,-0.0949267024158929,-0.130354063941838,-0.290083914879013
77.4,0.00181083226536816,-0.223660243718205,-0.0950017075831356,-0.1305,-0.28583722954147
77.5,0.00158161472830954,-0.222806944383148,-0.0950214398219215,-0.130708602674981,-0.281941583696588
77.6,0.00125070926175006,-0.221721544546483,-0.0949165818805189,-0.130991532730059,-0.278558159388275
77.7,0.000916507857933774,-0.220383915635101,-0.0947269708554296,-0.13125958027342,-0.275606344595299
77.8,0.000677402509104853,-0.218996572471648,-0.0945348912939222,-0.131423535413248,-0.272919076841355
77.9,0.000518008093243646,-0.217764528479022,-0.0944226277432653,-0.131412614651805,-0.270347583977785
78,0.000367422651323237,-0.216853994040036,-0.094441024873287,-0.131282320968923,-0.267743093855932
78.1,0.000246896204461197,-0.216124266572453,-0.0945294237566301,-0.131112579942259,-0.26499508662988
78.2,0.000177689096972699,-0.215484639158369,-0.0946419274779631,-0.130979988355856,-0.262178355995522
78.3,0.000206511251899948,-0.214877115489185,-0.0947351038967637,-0.130974352869007,-0.259393917143627
78.4,0.000432676060818315,-0.214243699256301,-0.0947666561488323,-0.131248462724502,-0.256740560284292
78.5,0.000755049790737404,-0.213526840048225,-0.0947660557251013,-0.131700917114585,-0.254315058995501
78.6,0.00104704175612994,-0.212763995796142,-0.0947645566808418,-0.132172464954462,-0.252120984912584
78.7,0.00118206127146863,-0.21204562239262,-0.0947621920143098,-0.132503855159341,-0.250069622619868
78.8,0.00118240594414425,-0.211462217518303,-0.0947589947237612,-0.132669047425305,-0.248074659841014
78.9,0.00118236819971555,-0.211085412746437,-0.0946940840377036,-0.132814710839348,-0.246049784299681
79,0.00118232449828973,-0.210838530966621,-0.0944979188704627,-0.132927628843016,-0.243907538156525
79.1,0.00118229162014037,-0.210641093764349,-0.0942536413885414,-0.13299152172391,-0.241668432535421
79.2,0.00120810571861703,-0.210422717720762,-0.0940477960873029,-0.13295608328273,-0.239451474485021
79.3,0.0015192982913349,-0.210112997667086,-0.0939668222431405,-0.132679827581974,-0.237377432639541
79.4,0.00201461159001076,-0.209602872925368,-0.0940248489577393,-0.132294419227992,-0.235565206224477
79.5,0.00247995174725152,-0.208892710050998,-0.0941487001257011,-0.13197040924145,-0.233999895089802
79.6,0.00270122489566435,-0.208069337225972,-0.0942816305286094,-0.131878189359465,-0.232581490622667
79.7,0.00261176007288869,-0.207219582632284,-0.0943668949480481,-0.132099730614014,-0.231238953128653
79.8,0.00238147478027236,-0.206391112229008,-0.0943705259394305,-0.132495743272034,-0.22990124291334
79.9,0.00211289597150125,-0.20549625232537,-0.0943467446570375,-0.132893483369692,-0.228502300819647
80,0.00190813968965476,-0.204567666178711,-0.0943058524906688,-0.133120206943156,-0.227054459368643
80.1,0.00187368768831364,-0.203653668828622,-0.0942516763014718,-0.133110238758016,-0.225630662525046
80.2,0.00210526517281365,-0.202796016818148,-0.0941880429505942,-0.133039058722106,-0.224305335129896
80.3,0.00249725921822111,-0.201861020349989,-0.0940642879995347,-0.132940281047399,-0.223152814610173
80.4,0.00290266010465336,-0.200901501613701,-0.0938483927114522,-0.132839717610474,-0.2221689613127
80.5,0.00317445811222753,-0.20008373807122,-0.0936007865937468,-0.132760368669705,-0.221285189285571
80.6,0.00325130387520606,-0.199574007184482,-0.0933822543841453,-0.132692849974495,-0.220466447595605
80.7,0.00330411151069681,-0.199423962388243,-0.0932495448116368,-0.132627647060561,-0.219677685309624
80.8,0.00334410664490665,-0.199354745909714,-0.0931635025325167,-0.132559250585106,-0.218887995544122
80.9,0.00336895144795772,-0.19930739608139,-0.0930929355449886,-0.132482151205332,-0.218116540733708
81,0.00337631122205756,-0.199243543170458,-0.0930333919784148,-0.132377738096425,-0.217369631496595
81.1,0.00336512699549721,-0.19911896799199,-0.092980419962158,-0.132232434588221,-0.216643642864277
81.2,0.00333736316466645,-0.198512584555492,-0.0929301179379969,-0.132088226166845,-0.215934949868247
81.3,0.00329540225663295,-0.197398949442592,-0.0928827352649857,-0.131989275302952,-0.215205683659776
81.4,0.00324162679846434,-0.19608183568261,-0.0928403543357973,-0.131974679924045,-0.214432957746956
81.5,0.00315331745894912,-0.194865016304863,-0.092805061702951,-0.132024205749366,-0.213700457688468
81.6,0.00288412233612148,-0.193895206952423,-0.0927789234227368,-0.132120119791877,-0.213094293116382
81.7,0.00251867108072786,-0.192952739531469,-0.0927617267364418,-0.132252860867335,-0.212696621876485
81.8,0.00218903247302643,-0.1920451133463,-0.0927491893297326,-0.132412867791498,-0.212443324214617
81.9,0.00202727529327517,-0.191193681571092,-0.0927366355232085,-0.132784124274512,-0.212251172257528
82,0.00228530411240002,-0.190420155195901,-0.0927193896374689,-0.133477593837367,-0.212079697264279
82.1,0.00300437941474234,-0.189745446306959,-0.0926907821757228,-0.134218247892349,-0.211888430493927
82.2,0.00386291829761802,-0.189135306640894,-0.092639682001348,-0.134728221235235,-0.211644152420404
82.3,0.00453658685281001,-0.188538430869954,-0.0925701616879866,-0.134746934523466,-0.211367936300162
82.4,0.00471626722943874,-0.187903513666391,-0.0924882560745625,-0.134307692245606,-0.211065414481424
82.5,0.00452935987655105,-0.187161372058909,-0.0924,-0.133672649053426,-0.210735485714914
82.6,0.00419556961551261,-0.186232182858779,-0.0922800282357627,-0.133108200748722,-0.210377048751358
82.7,0.00383976994616005,-0.18525428381721,-0.092122675987302,-0.132880767798191,-0.209923044180466
82.8,0.00358683436833012,-0.184393903160311,-0.0919635287445233,-0.133169597699414,-0.209330914480094
82.9,0.00350540778070298,-0.183817269114193,-0.0918381719973323,-0.133797103271534,-0.208733305951084
83,0.00345170889164807,-0.183528487588656,-0.0917771729786791,-0.13449661075794,-0.208265841289629
83.1,0.00341022349045036,-0.183346683741629,-0.0917441893691889,-0.135001446402018,-0.208060778573059
83.2,0.00338361855732571,-0.183179048561539,-0.0917197853866795,-0.135080806424162,-0.208007025950235
83.3,0.0033745726518052,-0.182932851339467,-0.0916989762946878,-0.134909060124567,-0.207976780588131
83.4,0.0033971492133349,-0.182371163106126,-0.0916767773567509,-0.134647530094932,-0.207950016183351
83.5,0.00345554264991576,-0.180745671611045,-0.0916503653967276,-0.134405045098942,-0.2079067064325
83.6,0.00353987450527093,-0.178511066037731,-0.0916245979328234,-0.134290433900281,-0.207763982273567
83.7,0.00364026632312357,-0.176321390153377,-0.0915982371831472,-0.134445674361354,-0.207231011992381
83.8,0.00375606055715728,-0.174830687725173,-0.091569236279012,-0.134840405729732,-0.206496457220411
83.9,0.00397775026550095,-0.17407253767347,-0.0915355483517309,-0.135295311388257,-0.205823628030065
84,0.00426523004129607,-0.173521558260367,-0.0914954831568497,-0.135630766590222,-0.205475834493754
84.1,0.00453486659358666,-0.173041720280557,-0.0914486200151665,-0.135696694090098,-0.205493924018047
84.2,0.00470302663141675,-0.172497126539217,-0.0913947888745243,-0.135660590015821,-0.20557213134564
84.3,0.00472329976948799,-0.171746383383083,-0.091333819355687,-0.135591128141164,-0.205667388107649
84.4,0.00472318719706762,-0.170627680079571,-0.0912650926631342,-0.135496334192549,-0.2057434189117
84.5,0.00472302750907556,-0.169273553034799,-0.0911838662691431,-0.135384233896396,-0.205754550842157
84.6,0.00472288034547597,-0.167895983609935,-0.0910893575391765,-0.135158527182073,-0.205460245462627
84.7,0.00472280534623303,-0.166706953166148,-0.0909821326058761,-0.134749725227382,-0.204910900894855
84.8,0.00486041020081118,-0.165830682138858,-0.0908627576018839,-0.134308974810486,-0.204298154846326
84.9,0.00526069882393151,-0.165117336425874,-0.0907183083661656,-0.133989711636002,-0.203813645024523
85,0.00574445989817451,-0.164459567096111,-0.0904970732657921,-0.133937621492209,-0.203594528094223
85.1,0.00612823748700679,-0.163754706547287,-0.0902516092308573,-0.13414200235843,-0.203438166826931
85.2,0.00623118077808236,-0.162900239081298,-0.0900496124919538,-0.134499718216792,-0.203309502372581
85.3,0.00601971109152639,-0.161841345011942,-0.0899587792796742,-0.134915122602759,-0.203220469292736
85.4,0.00563688439325161,-0.16062051222307,-0.0899974677653148,-0.135292569051794,-0.203183002148956
85.5,0.00522915966763314,-0.159289877865767,-0.0901003748920853,-0.135633949695267,-0.203208820380815
85.6,0.0049429958990459,-0.157901579091118,-0.0902246251079147,-0.136024727788331,-0.203283556750783
85.7,0.00490987910344407,-0.15650265009565,-0.0903275322346852,-0.136392698793004,-0.203375168833314
85.8,0.00507352527500166,-0.155001304063851,-0.0903662224872518,-0.136662697441665,-0.203451512414002
85.9,0.00532632321664821,-0.153410006670253,-0.0902757302339808,-0.136759395344347,-0.203480624696056
86,0.00557393243093506,-0.15181605086654,-0.0900744110169505,-0.136597823114098,-0.203478400727668
86.1,0.00572201242041364,-0.150306729604396,-0.0898295935844954,-0.136247738924469,-0.203472502947937
86.2,0.00570364808383184,-0.148956673716913,-0.0896086066849499,-0.135850881090783,-0.203463251468388
86.3,0.00558243018111054,-0.147733574823159,-0.0894699396191209,-0.135548987928364,-0.203450966400549
86.4,0.00542222930679825,-0.146559136474488,-0.0893754991212726,-0.135485877847497,-0.203433751167141
86.5,0.00528348417653993,-0.145355605325322,-0.0892964227642033,-0.135750410331775,-0.203380953651492
86.6,0.00522708143899414,-0.144045499100072,-0.0892173557469048,-0.136196602218285,-0.203288227732933
86.7,0.00574536022628443,-0.142634157122946,-0.0891229432683692,-0.136636205421812,-0.2031627535885
86.8,0.00691512336687321,-0.141154720644908,-0.0889959064833296,-0.136880971857143,-0.203011711395227
86.9,0.00826083483645519,-0.139594853138232,-0.088832901227356,-0.136732203269454,-0.202783162886245
87,0.00930695861072448,-0.137942218075192,-0.088652746895777,-0.13620991448933,-0.202302178898716
87.1,0.0095949808487097,-0.136170724936383,-0.088475010173337,-0.135553698224852,-0.201708608540285
87.2,0.00925730836690007,-0.134104379930212,-0.0883192577447806,-0.135007058993028,-0.201175496615415
87.3,0.00862458748246091,-0.131855729314194,-0.0881780401473176,-0.134812334744341,-0.200875887928567
87.4,0.00790416069047219,-0.129635578688073,-0.0880335430380864,-0.135015204210559,-0.200898083388113
87.5,0.00730337048601423,-0.127654733651595,-0.0879038871807881,-0.135433928885547,-0.201065043412593
87.6,0.00699714822590403,-0.126072267384774,-0.0878073962941824,-0.135910074346868,-0.201307569068877
87.7,0.00678623659334884,-0.124756771662268,-0.0877612452305932,-0.136285206172086,-0.201567356681097
87.8,0.00660645757667928,-0.12355889769797,-0.0877429748822602,-0.136438807216363,-0.201786102573381
87.9,0.00647502222766263,-0.122338126640881,-0.0877322978396313,-0.13653489656848,-0.201980386493805
88,0.00640914159806624,-0.120953939640005,-0.0877225904222825,-0.136612539006658,-0.202190917304659
88.1,0.00656401341198864,-0.119243909066832,-0.0877072289497898,-0.136665966146288,-0.202382330857267
88.2,0.00722617221653699,-0.117237288973496,-0.0876595905038635,-0.136689409602763,-0.20251919480534
88.3,0.00811122792085487,-0.115151154088826,-0.0874048816100065,-0.136547974985889,-0.202565230708893
88.4,0.00889846556124519,-0.11320438706565,-0.0870158866753094,-0.136102654623349,-0.202372621396059
88.5,0.00926717017401041,-0.111611487264052,-0.0866331039423691,-0.13554952,-0.201967581466578
88.6,0.00913873327647879,-0.110362067474417,-0.0863970316537825,-0.135091994249444,-0.201516723168802
88.7,0.00879655727113659,-0.109285993562701,-0.0863913105120408,-0.134932492756488,-0.201186658751079
88.8,0.00838441781548139,-0.108244235914771,-0.0864676790593318,-0.135117334367335,-0.201117951574743
88.9,0.00804509746117237,-0.107097764916495,-0.0865733078244494,-0.135494386670818,-0.201141805574177
89,0.00792165717432763,-0.105710826820805,-0.0866709226445571,-0.135921051994498,-0.201180868253098
89.1,0.00813774934182248,-0.104050672664093,-0.0867232493568188,-0.136254732665938,-0.201221376100658
89.2,0.00860721140314958,-0.10219745696768,-0.0866117899747956,-0.13639600706241,-0.201249565606009
89.3,0.00917420216156768,-0.100236122876254,-0.0862403878771477,-0.136493968215259,-0.201254382911052
89.4,0.00968288042033577,-0.0982516135345,-0.0857665394487766,-0.136573428453005,-0.201250352638635
89.5,0.0099832925780647,-0.096287473074228,-0.0853541588188395,-0.136627627188122,-0.201244168159973
89.6,0.0101438054506568,-0.0942521691017342,-0.085167160116493,-0.136649803833082,-0.201238263606415
89.7,0.0102622902140479,-0.0921732519800631,-0.0852023694073712,-0.136620011828551,-0.201235073109315
89.8,0.0103730783500864,-0.0900925984075888,-0.0852930246988932,-0.136537363319694,-0.201303368519475
89.9,0.0105105013406208,-0.0880520850826843,-0.0854007698341652,-0.136436552862137,-0.201524146625845
90,0.0107256148789137,-0.0860805989744643,-0.0854876273826317,-0.136352507280303,-0.201805793119067
90.1,0.0111279223974157,-0.0841546409097764,-0.0855137620868097,-0.136320067010246,-0.202052452271815
90.2,0.0116156916266571,-0.0822467680511209,-0.085366499582985,-0.136337941700969,-0.202168268356762
90.3,0.0120483309976968,-0.0803300624111638,-0.0850636462245644,-0.136376533845117,-0.20213822197618
90.4,0.0122852489415938,-0.0783776060025699,-0.0846984693038899,-0.136419967999453,-0.202055577414989
90.5,0.012297362140662,-0.0763906228575394,-0.0843642361133036,-0.136452368720739,-0.201954436865141
90.6,0.0122970742112762,-0.074387091627491,-0.0841477852843856,-0.136459948529419,-0.201868429396921
90.7,0.01229669334493,-0.0723585912911573,-0.0839873907350036,-0.136459169697662,-0.201831184080612
90.8,0.0122963477305343,-0.0702966526452397,-0.0838442198806834,-0.136457469386794,-0.20188112002645
90.9,0.012296165557,-0.0681931775930737,-0.0837234790636843,-0.136454867107017,-0.202002054490593
91,0.0123043598133783,-0.066053034726819,-0.0836303746262657,-0.136451382368529,-0.202143456912323
91.1,0.0123326347475103,-0.0638762965842898,-0.0835684188511966,-0.136406037089519,-0.202254789124757
91.2,0.0123732998873584,-0.0616570509260905,-0.0835250981779529,-0.136222597095377,-0.202284592770178
91.3,0.012418169898502,-0.0593893855128264,-0.0834913562671352,-0.135975840856378,-0.202184236759857
91.4,0.0124590594465207,-0.0570488731525306,-0.0834604674021565,-0.135753109219272,-0.201999200140003
91.5,0.0124907788703444,-0.0545656456169442,-0.0834257058664294,-0.13564174303081,-0.201800643086693
91.6,0.0125183952833796,-0.0520192505958502,-0.0833834678171659,-0.13567970294571,-0.201659725776008
91.7,0.0125482876092973,-0.0495097518158189,-0.083341410390679,-0.135794519580649,-0.20167002721723
91.8,0.0125868139713976,-0.0471372130034216,-0.083295800903785,-0.13593587357037,-0.202012817835483
91.9,0.0126424774542407,-0.0449895832411098,-0.0832413107123363,-0.13605416238257,-0.202556140674786
92,0.0128082475555175,-0.0430328602519663,-0.0831726111721855,-0.136099995293157,-0.203106244796927
92.1,0.0130720980549149,-0.0411666030111083,-0.0830595636388586,-0.136098737997257,-0.203469379263692
92.2,0.0133525529434238,-0.0392900560139416,-0.0828740799068304,-0.13609601568664,-0.203459859665274
92.3,0.0135681362120346,-0.0373024637558728,-0.0826547303114734,-0.136092934032792,-0.203078978238965
92.4,0.0136361419212141,-0.0351033037715819,-0.082441525505208,-0.136090598707195,-0.202515239122701
92.5,0.0134467675489595,-0.0327037159705233,-0.0822744761404545,-0.136106947451555,-0.201965263488476
92.6,0.0130726317070136,-0.0302281396176716,-0.0821692699084052,-0.136378734273218,-0.201625672508286
92.7,0.0126609546899512,-0.0278041847076115,-0.0820912239144797,-0.136853016841028,-0.201669385852316
92.8,0.012358956792347,-0.0255594015729556,-0.0820211244546942,-0.137361748892623,-0.202038205086878
92.9,0.0123098619915702,-0.023505978906172,-0.0819402104155004,-0.137736884165639,-0.202553688343595
93,0.0125330257529627,-0.021556146288038,-0.0818296985975061,-0.137821507286115,-0.203037267680531
93.1,0.0129158374750403,-0.019674477033765,-0.0816281224568036,-0.13768956176996,-0.203310375155753
93.2,0.0133408314680747,-0.0178255444585641,-0.0813347702748618,-0.137449989669679,-0.203363333824914
93.3,0.0136905420423376,-0.0159741925114049,-0.0810155037338074,-0.137170374644519,-0.203403376948514
93.4,0.0138774471465071,-0.01421090552394,-0.0807361845157669,-0.136918300353725,-0.203433526838687
93.5,0.0140249095285673,-0.0125418126529124,-0.0805619009189016,-0.136717907208637,-0.203452910529371
93.6,0.0141534321890115,-0.0108394082804402,-0.0804656770783572,-0.136499558666454,-0.203460655054506
93.7,0.0142503476165542,-0.00897618678864126,-0.0803933979084417,-0.136292127547102,-0.203384299035726
93.8,0.0143029882999098,-0.00681686391262904,-0.0803310285337732,-0.136131287116123,-0.203160071198244
93.9,0.014290018438886,-0.00407886562497855,-0.08026453407897,-0.13605271063906,-0.202876313447285
94,0.0141845176464417,-0.000906425655850713,-0.0801802912375137,-0.136162978581991,-0.202623222621451
94.1,0.0140329109243944,0.00238006728917692,-0.0800766731525824,-0.136540169751419,-0.202490995559342
94.2,0.0138891233366072,0.00546022450452684,-0.0799626051269128,-0.137022527308849,-0.202619096558093
94.3,0.0138070799469434,0.00805222221575967,-0.0798469160031267,-0.137441785033478,-0.203042951846522
94.4,0.013919902340028,0.0103048927017341,-0.0797384346238456,-0.137629676704501,-0.203576989056632
94.5,0.0143639951072032,0.0123872167698765,-0.0796460214329176,-0.137627862856903,-0.204031239357938
94.6,0.0149571265509796,0.0144213236631889,-0.0795738758204753,-0.137622543600653,-0.20421581170474
94.7,0.0155031931495136,0.0165293426246727,-0.0795121770177688,-0.137616305836615,-0.204086339577788
94.8,0.0158060913809613,0.0188092261411921,-0.0794487670334189,-0.137611417485253,-0.203792372904293
94.9,0.0157680455811636,0.0211629470431468,-0.0793714878760466,-0.137610633758689,-0.203450162247182
95,0.0155767576081045,0.0235809595204068,-0.0792653578480947,-0.137626259343538,-0.203175958169385
95.1,0.0153251634914576,0.0260877781166768,-0.0790852642169327,-0.137657311964119,-0.203086436289317
95.2,0.0150982014616282,0.0287079173756613,-0.0788498374420592,-0.13769639254942,-0.20327186250029
