Temperature,DSC_an,DSC_anele,DSC_caan,DSC_ca,DSC_caele
73,-0.203379335244227,0.0378043015926848,-0.115725153358295,-0.114229751716218,-0.242822708898472
73.1,-0.203619062531536,0.0227965960833455,-0.115862399557161,-0.113748821667657,-0.238661382092796
73.2,-0.203864256820023,0.00831579913454084,-0.115999035716294,-0.113278654790072,-0.234567242458273
73.3,-0.204114768919701,-0.00564679331953466,-0.116135059329801,-0.112819141044164,-0.230539924014129
73.4,-0.204370449640587,-0.0190998853446944,-0.11627046789179,-0.112370170390636,-0.22657906077959
73.5,-0.204631149792696,-0.0320521810067441,-0.116405258896369,-0.11193163279019,-0.222684286773883
73.6,-0.204896720186041,-0.0445123843714955,-0.116539429837644,-0.111503418203527,-0.218855236016232
73.7,-0.205167011630639,-0.0564891995047597,-0.116672978209724,-0.111085416591352,-0.215091542525863
73.8,-0.205441874936504,-0.067991330472343,-0.116805901506716,-0.110677517914365,-0.211392840322003
73.9,-0.205721160913651,-0.0790274813400581,-0.116938197222727,-0.110279612133268,-0.207758763423876
74,-0.206004720372095,-0.0896063561737116,-0.117069862851865,-0.109891589208765,-0.20418894585071
74.1,-0.206292404121852,-0.0997366590391145,-0.117200895888238,-0.109513339101556,-0.20068302162173
74.2,-0.206584062972936,-0.109427094002078,-0.117331293825953,-0.109144751772345,-0.19724062475616
74.3,-0.206879547735362,-0.118686365128409,-0.117461054159117,-0.108785717181833,-0.193861389273229
74.4,-0.207178709219145,-0.127523176483919,-0.117590174381839,-0.108436125290723,-0.19054494919216
74.5,-0.2074813982343,-0.135946232134415,-0.117718651988225,-0.108095866059716,-0.187290938532181
74.6,-0.207787465590843,-0.14396423614571,-0.117846484472383,-0.107764829449516,-0.184098991312516
74.7,-0.208096762098788,-0.151585892583612,-0.117973669328421,-0.107442905420824,-0.180968741552392
74.8,-0.208409138568149,-0.15881990551393,-0.118100204050446,-0.107129983934342,-0.177899823271034
74.9,-0.208724445808943,-0.165674979002474,-0.118226086132565,-0.106825954950772,-0.174891870487669
75,-0.209042534631185,-0.172159817115054,-0.118351313068887,-0.106530708430818,-0.171944517221521
75.1,-0.209363255844888,-0.178283123917479,-0.118475882353518,-0.10624413433518,-0.169057397491818
75.2,-0.209686460260068,-0.18405360347556,-0.118599791480567,-0.105966122624562,-0.166230145317784
75.3,-0.210011998686741,-0.189479959855104,-0.11872303794414,-0.105696563259664,-0.163462394718646
75.4,-0.210339721934921,-0.194570897121923,-0.118845619238346,-0.10543534620119,-0.160753779713629
75.5,-0.210669480814622,-0.199335119341825,-0.118967532857291,-0.105182361409842,-0.158103934321959
75.6,-0.211001126135861,-0.203781330580621,-0.119088776295084,-0.104937498846322,-0.155512492562863
75.7,-0.211334508708652,-0.20791823490412,-0.119209347045831,-0.104700648471331,-0.152979088455565
75.8,-0.211669479343011,-0.21175453637813,-0.119329242603641,-0.104471700245573,-0.150503356019291
75.9,-0.212005888848951,-0.215298939068463,-0.11944769468155,-0.104250544129749,-0.148084929273268
