Temperature,DSC_an,DSC_anele,DSC_caan,DSC_ca,DSC_caele
73,-0.123651647852152,-0.518708484808143,-0.17922337286623,-0.108744754361039,-0.30836000165679
73.1,-0.123605795687781,-0.519416582739667,-0.179361877509823,-0.108666290921275,-0.308654891074925
73.2,-0.123554141670302,-0.520107789990197,-0.17952379821629,-0.108594635095782,-0.308932431726517
73.3,-0.123485083724258,-0.520759772669909,-0.179752253922156,-0.108540532014082,-0.309177926340617
73.4,-0.123374703580826,-0.52137881125266,-0.180205545497688,-0.108503734241806,-0.309385158773507
73.5,-0.12321886414141,-0.52198236625019,-0.180801481721604,-0.108473998454199,-0.30957065873454
73.6,-0.123042723383606,-0.522586764990147,-0.181355512379949,-0.108447749744028,-0.309754438124203
73.7,-0.122871515652911,-0.523208334800177,-0.181693159656498,-0.108421414661095,-0.309956508842982
73.8,-0.122730475294823,-0.523861956052083,-0.181893471390887,-0.108391419755201,-0.310197400116235
73.9,-0.122626417665963,-0.524544265797364,-0.182050151527025,-0.108356633139908,-0.310500055966902
74,-0.122538117632006,-0.525245847158304,-0.182195062927266,-0.108319318503003,-0.310849110676857
74.1,-0.122456964099931,-0.525958336576161,-0.182357022293587,-0.108280532786849,-0.3112178513749
74.2,-0.122374484395119,-0.526673370492192,-0.182512002988381,-0.108241329464972,-0.311579565189832
74.3,-0.122282205842952,-0.527386134805312,-0.182667144156256,-0.108202762010897,-0.311908272919
74.4,-0.122174346279412,-0.528116098987342,-0.182849293598994,-0.108162840689828,-0.312211776618202
74.5,-0.122055055955071,-0.528853842945614,-0.183102312456331,-0.108120204686654,-0.312504343472428
74.6,-0.121930156222648,-0.529582358478466,-0.183563426971252,-0.108078481897205,-0.312789729699887
74.7,-0.121805452406846,-0.530284637384237,-0.184094362691469,-0.108041321394637,-0.313071691518788
74.8,-0.12168674983237,-0.530943955577025,-0.184492329614178,-0.108012372252104,-0.313353900499602
74.9,-0.121571166628385,-0.531558048861318,-0.184602839333788,-0.107991671392977,-0.313634932715781
75,-0.121451208441835,-0.53214547608523,-0.184631340863017,-0.107974588006982,-0.313913087618118
75.1,-0.121335392599106,-0.532726398195289,-0.184649903441345,-0.107959797893391,-0.314188774634401
75.2,-0.121232511190079,-0.533320976138024,-0.184679658472672,-0.107946015840281,-0.314462403192416
75.3,-0.121151356304634,-0.533950242517012,-0.18480917460925,-0.107931956635732,-0.314734347327566
75.4,-0.12109637103468,-0.534627644228096,-0.185249358768665,-0.107918053022669,-0.315002726355261
75.5,-0.121057480742148,-0.535328415975094,-0.185828576188005,-0.107905699695589,-0.315267928916186
75.6,-0.121024246240939,-0.536021993173157,-0.186336131147622,-0.107893427526744,-0.315532266921688
75.7,-0.120986327497331,-0.536677811237434,-0.186613771634454,-0.107879726440034,-0.315798052283114
75.8,-0.120933384477601,-0.537265060382268,-0.186815278961307,-0.107863086359356,-0.316067683425012
75.9,-0.120840512060144,-0.537772709723137,-0.186980462440314,-0.107839933920866,-0.316350386024132
76,-0.120687195008241,-0.538238180488769,-0.187115888475115,-0.107808304341422,-0.316642345961068
76.1,-0.120498984164945,-0.538704981495359,-0.187224471917275,-0.107772429143532,-0.316930963412002
76.2,-0.120302604492013,-0.539216621559099,-0.187301829020265,-0.107736643398119,-0.317203638553117
76.3,-0.120124780951199,-0.53981767799886,-0.187370898102663,-0.107705282176105,-0.317447751022686
76.4,-0.119964085590294,-0.540540156173432,-0.187457962591253,-0.107677809263851,-0.317653268350505
76.5,-0.119785092873232,-0.541349492581143,-0.187613238744657,-0.107648548727947,-0.317833135252081
76.6,-0.11961432583503,-0.542199638921406,-0.18789149417037,-0.107621420977846,-0.318007835461187
76.7,-0.119480709978846,-0.543044546893632,-0.188195024135708,-0.107600638819272,-0.318197852711593
76.8,-0.119413170807837,-0.543841965595386,-0.188414781118994,-0.107590415057952,-0.318423715709089
76.9,-0.119415391802672,-0.544618873684602,-0.188469506462776,-0.107606286900175,-0.318713069659792
77,-0.11943510693547,-0.54539045456123,-0.188481151910855,-0.107663598670288,-0.319057011292539
77.1,-0.119461328730374,-0.546154349474858,-0.188488562848811,-0.107739233785345,-0.319425838595566
77.2,-0.119485538383893,-0.546908199675079,-0.188500776215461,-0.107808785525474,-0.319789849557109
77.3,-0.119499217092537,-0.547650611671612,-0.188607403599678,-0.107847847170802,-0.320119367000554
77.4,-0.11946335582827,-0.548394541477327,-0.189083394597913,-0.107837581162621,-0.320417710244604
77.5,-0.119315723157543,-0.549134422065393,-0.18970684991955,-0.107788267396578,-0.320704909769692
77.6,-0.119098355453148,-0.549856718964158,-0.190196769224209,-0.107716122966046,-0.320981070702504
77.7,-0.118858407155031,-0.550547897701967,-0.1903182410707,-0.107637095459025,-0.321246298169724
77.8,-0.118643032703143,-0.551193581954539,-0.190330793378567,-0.107567132463519,-0.321500697184449
77.9,-0.118476091884612,-0.551774163708713,-0.190338050341729,-0.107514803480413,-0.321732862678285
78,-0.11831562963036,-0.552313487650829,-0.190348858854763,-0.10746643307055,-0.32194372009235
78.1,-0.1181609623294,-0.552848004408871,-0.190409203203963,-0.10742044767577,-0.322151627493444
78.2,-0.118015081041498,-0.553414164610824,-0.190753323689457,-0.107376449495128,-0.322374942948365
78.3,-0.117880976826422,-0.554049659497973,-0.191250191226383,-0.107334040727678,-0.322632024523914
78.4,-0.117760492310728,-0.554800089719893,-0.191691776309439,-0.107291331058085,-0.322958765007441
78.5,-0.117650311540527,-0.555627655055233,-0.191872256974572,-0.107245476089815,-0.323352555291856
78.6,-0.117547590678599,-0.556469233130666,-0.19188763650492,-0.107200976144777,-0.323769160599805
78.7,-0.11744965889945,-0.557261701572863,-0.191895462981295,-0.107162822831833,-0.324164322754961
78.8,-0.117353845377588,-0.557943344538886,-0.191903622210664,-0.107136007759848,-0.324493783580997
78.9,-0.117258921592068,-0.558522098735168,-0.19192,-0.107122904728716,-0.32474552682904
79,-0.117167751751062,-0.559045113576182,-0.192037473345964,-0.107115479784041,-0.32495782244227
79.1,-0.117079201513278,-0.559546542023429,-0.192287407669207,-0.107110235631008,-0.32515363815747
79.2,-0.116991729569623,-0.56006053703841,-0.192585421412683,-0.107104379527777,-0.325355856489082
79.3,-0.116903794611006,-0.560620680202277,-0.192847133019346,-0.10709511873251,-0.325587359951545
79.4,-0.116814850220234,-0.561226041882196,-0.193028937211498,-0.107068670212061,-0.325872235449342
79.5,-0.116727152979285,-0.561857808422346,-0.193183014398778,-0.106991818197482,-0.326202849313294
79.6,-0.116639532274133,-0.562505282665797,-0.193338056509816,-0.106886531379951,-0.326549295310562
79.7,-0.116550445954088,-0.563157767455622,-0.193521754236677,-0.106779976410645,-0.326881587024751
79.8,-0.116458351868458,-0.563804447995482,-0.193766592182525,-0.106699319940741,-0.327169738039467
79.9,-0.116362142330846,-0.564434159281062,-0.194074593160643,-0.106660692199922,-0.327397756782232
80,-0.116262750311208,-0.565057531832125,-0.194410799490996,-0.106632323585646,-0.327589163427767
80.1,-0.116160359528308,-0.56569261485957,-0.194739681103935,-0.106609033848585,-0.327767756319171
80.2,-0.116054997640508,-0.566357457574295,-0.1950358354904,-0.106590247698145,-0.327957201494153
80.3,-0.115946692306172,-0.567070672675677,-0.195323238055143,-0.106575389843739,-0.32818116499042
80.4,-0.115831508049155,-0.567880069794522,-0.195602918764949,-0.106563404518057,-0.328466350871092
80.5,-0.115698269211937,-0.568765555175595,-0.195871123230823,-0.10655211335703,-0.328812760641537
80.6,-0.115560114273781,-0.569667924882944,-0.196121907243727,-0.106542190722589,-0.329193350406546
80.7,-0.115432780129648,-0.570527974980616,-0.196339952362506,-0.106534647336545,-0.329580777717472
80.8,-0.115332003674502,-0.571286678477332,-0.196547363931167,-0.106530493920705,-0.329947700125667
80.9,-0.115265453293105,-0.571928915182344,-0.196774245894427,-0.10653165587448,-0.33028124653958
81,-0.115205886205672,-0.572503596997063,-0.197052627200837,-0.106542725193456,-0.330601389945248
81.1,-0.115153761943747,-0.573058365436769,-0.197448046924111,-0.106562740109838,-0.330916305523857
81.2,-0.115114262879874,-0.573640862016739,-0.197916851857873,-0.106589990605762,-0.331233648276758
81.3,-0.115092571386595,-0.574298530158703,-0.198372104291225,-0.106622766663366,-0.331561073205306
81.4,-0.115112177668442,-0.575024983645588,-0.198727096516932,-0.106668226097645,-0.331906856712244
81.5,-0.115245493514237,-0.575800484799105,-0.198985484552516,-0.106764769709957,-0.332269689990607
81.6,-0.115447793967743,-0.576636202264866,-0.199205565097925,-0.106895138535904,-0.332638294385693
81.7,-0.115659059278204,-0.577543304688489,-0.199404514220624,-0.107033520951273,-0.333001216812219
81.8,-0.115819269694866,-0.578533432924273,-0.199599507988081,-0.107154105331853,-0.333347004184898
81.9,-0.115888680706034,-0.579853546814064,-0.199804299092729,-0.107239514174872,-0.333678013072746
82,-0.115938668282137,-0.581489901991121,-0.200011781413568,-0.107321363787068,-0.334011372059048
82.1,-0.115980463294806,-0.583128311347591,-0.200211168188483,-0.107397790300891,-0.334332940368241
82.2,-0.116011153921168,-0.584454587775622,-0.200392103112279,-0.107458867128161,-0.334627433258045
82.3,-0.11602782833835,-0.585154644143562,-0.200544591260435,-0.107494667680698,-0.33487956598618
82.4,-0.115995747444759,-0.585394111031745,-0.200669938176491,-0.107476713898806,-0.335088220265748
82.5,-0.11575822580836,-0.585552578778771,-0.200782699628009,-0.107303547842808,-0.335277699690568
82.6,-0.115362882938386,-0.585674601700673,-0.20089818554848,-0.107026112835564,-0.335447675361204
82.7,-0.114890783004296,-0.585804734113485,-0.201031750036764,-0.106722057502974,-0.335596673533806
82.8,-0.114422990175546,-0.585987530333239,-0.20119917054779,-0.106469030470938,-0.335723220464523
82.9,-0.114019357178333,-0.586261735497836,-0.201388684829433,-0.106329473046734,-0.335823738985263
