Time,Temperature,dT_dt
0,122,0.000866926744690074
87,122.1,0.000877963125548727
111,122.2,0.000865051903114187
143,122.3,0.000853242320819113
162,122.4,0.000844594594594595
207,122.5,0.000837871805613741
278,122.6,0.000840689365279529
294,122.7,0.000828843762950684
332,122.8,0.000823723228995058
391,122.9,0.000822368421052632
460,123,0.000828500414250207
528,123.1,0.00082815734989648
577,123.2,0.000823384108686702
787,123.3,0.000885347498893316
1719,123.4,0.00145772594752187
1829,123.5,0.0015220700152207
1897,123.6,0.00148698884758364
2053,123.7,0.00163934426229508
2200,123.8,0.00176991150442478
2267,123.9,0.0018001800180018
2307,124,0.0017921146953405
2365,124.1,0.00180995475113122
2423,124.2,0.00178890876565295
2487,124.3,0.00183150183150183
2530,124.4,0.00190114068441065
2594,124.5,0.00185701021355617
2657,124.6,0.00189753320683112
2707,124.7,0.00186046511627907
2760,124.8,0.00188146754468485
2823,124.9,0.00191570881226054
2874,125,0.00200803212851406
2943,125.1,0.00205973223480947
3006,125.2,0.00208333333333333
3046,125.3,0.00200803212851406
3091,125.4,0.00209863588667366
3143,125.5,0.00212089077412513
3242,125.6,0.00228571428571429
3273,125.7,0.00222965440356745
3330,125.8,0.00229357798165138
3378,125.9,0.00228050171037628
3423,126,0.00230149597238205
3470,126.1,0.00229357798165138
3541,126.2,0.00240096038415366
3579,126.3,0.00240384615384615
3582,126.4,0.00238663484486874
3671,126.5,0.00247831474597274
3711,126.6,0.00247524752475248
3782,126.7,0.00253807106598985
3823,126.8,0.00256081946222791
3867,126.9,0.00256739409499358
3870,127,0.00248138957816377
3914,127.1,0.00245098039215686
3966,127.2,0.0025974025974026
4042,127.3,0.00269541778975741
4044,127.4,0.00264550264550265
4086,127.5,0.00265604249667995
4117,127.6,0.00261096605744125
4170,127.7,0.0026525198938992
4202,127.8,0.00262123197903014
4255,127.9,0.00269541778975741
4292,128,0.00264550264550265
4342,128.1,0.00282885431400283
4374,128.2,0.00275482093663912
4411,128.3,0.00273972602739726
4420,128.4,0.0026525198938992
4478,128.5,0.0027359781121751
4519,128.6,0.00277777777777778
4570,128.7,0.0028169014084507
4604,128.8,0.00285306704707561
4646,128.9,0.00286123032904149
4676,129,0.00287769784172662
4730,129.1,0.00300751879699248
4736,129.2,0.00290275761973875
4784,129.3,0.00293685756240822
4800,129.4,0.00286532951289398
4839,129.5,0.00295420974889217
4883,129.6,0.00303030303030303
4924,129.7,0.00311526479750779
4965,129.8,0.0031201248049922
4997,129.9,0.00307692307692308
5048,130,0.00312989045383412
5049,130.1,0.00294985250737463
5100,130.2,0.00304878048780488
5141,130.3,0.00313479623824451
5174,130.4,0.00315955766192733
5209,130.5,0.00315457413249211
5239,130.6,0.00313479623824451
5280,130.7,0.0033112582781457
5305,130.8,0.00337837837837838
5345,130.9,0.00344827586206897
5371,131,0.0032258064516129
5395,131.1,0.00333889816360601
5425,131.2,0.00340715502555366
5465,131.3,0.00344827586206897
5498,131.4,0.00348432055749129
5516,131.5,0.00333333333333333
5543,131.6,0.0033955857385399
5566,131.7,0.00328407224958949
5606,131.8,0.00335570469798658
5647,131.9,0.00340715502555366
5687,132,0.00337837837837838
5727,132.1,0.00361663652802893
5756,132.2,0.00355239786856128
5779,132.3,0.00354609929078014
5807,132.4,0.00361663652802893
5843,132.5,0.00346020761245675
5877,132.6,0.00353356890459364
5884,132.7,0.00338409475465313
5897,132.8,0.00333889816360601
5925,132.9,0.0033167495854063
5991,133,0.0036101083032491
5994,133.1,0.00355871886120996
6012,133.2,0.0035650623885918
6045,133.3,0.00363636363636364
6072,133.4,0.0036101083032491
6116,133.5,0.00377358490566038
6132,133.6,0.00364298724954463
6175,133.7,0.00367647058823529
6202,133.8,0.00374531835205993
6234,133.9,0.00383877159309021
6279,134,0.00393700787401575
6280,134.1,0.00376647834274953
6319,134.2,0.00404858299595142
6343,134.3,0.00389863547758285
6360,134.4,0.00383877159309021
6421,134.5,0.00410677618069815
6443,134.6,0.00412371134020619
6475,134.7,0.00413223140495868
6496,134.8,0.0040650406504065
6528,134.9,0.00409836065573771
6545,135,0.00403225806451613
6556,135.1,0.00396825396825397
6573,135.2,0.00386847195357834
6595,135.3,0.00389105058365759
6626,135.4,0.00396039603960396
6646,135.5,0.00392927308447937
6681,135.6,0.00410677618069815
6719,135.7,0.00405679513184584
6736,135.8,0.00411522633744856
6755,135.9,0.00423728813559322
6787,136,0.00426439232409382
6811,136.1,0.00423728813559322
6813,136.2,0.00402414486921529
6856,136.3,0.00425531914893617
6881,136.4,0.00431965442764579
6908,136.5,0.00435729847494553
6928,136.6,0.0043859649122807
6959,136.7,0.00441501103752759
6988,136.8,0.0045045045045045
7016,136.9,0.0045662100456621
7041,137,0.00465116279069767
7060,137.1,0.00460829493087558
7090,137.2,0.00476190476190476
7109,137.3,0.00480769230769231
7131,137.4,0.00480769230769231
7155,137.5,0.0048780487804878
7168,137.6,0.00485436893203883
7212,137.7,0.0050761421319797
7222,137.8,0.00498753117206983
7227,137.9,0.00476190476190476
7256,138,0.00490196078431373
7283,138.1,0.00506329113924051
7310,138.2,0.00498753117206983
7326,138.3,0.00497512437810945
7344,138.4,0.00496277915632754
7367,138.5,0.00498753117206983
7384,138.6,0.00495049504950495
7412,138.7,0.0050761421319797
7432,138.8,0.00505050505050505
7454,138.9,0.00497512437810945
7471,139,0.00498753117206983
7494,139.1,0.0050761421319797
7510,139.2,0.00493827160493827
7525,139.3,0.00490196078431373
7547,139.4,0.00498753117206983
7565,139.5,0.00508905852417303
7580,139.6,0.0050761421319797
7606,139.7,0.00519480519480519
7623,139.8,0.0051413881748072
7647,139.9,0.00520833333333333
7664,140,0.00515463917525773
7678,140.1,0.005
7711,140.2,0.0051150895140665
7728,140.3,0.00508905852417303
7747,140.4,0.00508905852417303
7768,140.5,0.00503778337531486
7788,140.6,0.00505050505050505
7806,140.7,0.0050125313283208
7828,140.8,0.0051150895140665
7856,140.9,0.00523560209424084
7872,141,0.00523560209424084
7888,141.1,0.00520833333333333
7915,141.2,0.00533333333333333
7933,141.3,0.00540540540540541
7948,141.4,0.0053475935828877
