Temperature,DSC_an,DSC_anele,DSC_caan,DSC_ca,DSC_caele
73,-0.127979052305011,-1.21245678675801,-0.139022778718944,-0.116457959468486,-0.460982964617282
73.1,-0.127704466261443,-1.21340912140287,-0.13892262096273,-0.116421202562926,-0.461375188284566
73.2,-0.127435633283358,-1.2142554559783,-0.138805301350968,-0.116368703225942,-0.461765349876668
73.3,-0.127153409177953,-1.21505167780085,-0.138676034061994,-0.116300961615322,-0.462157882384855
73.4,-0.126838649752423,-1.21585233521863,-0.138540034435474,-0.116220065845207,-0.462557218800396
73.5,-0.1264719079964,-1.21671197657975,-0.138402517811073,-0.116128104029737,-0.462967979184216
73.6,-0.125906322211255,-1.21767271050621,-0.138257595300829,-0.11602194318868,-0.46339966376406
73.7,-0.125153210689419,-1.21871025434932,-0.138098449981173,-0.115867095867635,-0.463846309240847
73.8,-0.124391704953225,-1.21977969765374,-0.137936230943731,-0.115679233127204,-0.464294975737523
73.9,-0.123800936525011,-1.22083619220756,-0.137782209237242,-0.115485859499889,-0.464732723377033
74,-0.123560036927111,-1.22183488979888,-0.137647655910443,-0.115314479518195,-0.465146837431021
74.1,-0.123588931921299,-1.22273762534156,-0.137539044742512,-0.1151879376759,-0.46554591415776
74.2,-0.123659347398853,-1.22356438500082,-0.13744724861066,-0.115076686936181,-0.465936485259992
74.3,-0.123744284458138,-1.22436495192945,-0.137362282768276,-0.114974383409173,-0.466313137720566
74.4,-0.123816776373563,-1.22518934492654,-0.137274230756385,-0.114886945292797,-0.466670458522333
74.5,-0.123849856419533,-1.22608758279121,-0.137173176116013,-0.114820290784973,-0.467002999034446
74.6,-0.123696890312168,-1.22711435486437,-0.137051849394848,-0.114779059912268,-0.46730185041837
74.7,-0.123276454317363,-1.22827397631597,-0.136913608313441,-0.114749604580473,-0.467574800123845
74.8,-0.122719850577867,-1.22950304510703,-0.136762996624502,-0.114725749495992,-0.467838734095267
74.9,-0.122159076012314,-1.23073617326984,-0.136604483301952,-0.114706339812961,-0.46811053827703
75,-0.121726127539334,-1.23190797283666,-0.13644253731971,-0.114690220685517,-0.468407092945997
75.1,-0.121456513130477,-1.23296739556468,-0.13627397889899,-0.114676393604122,-0.468730441386449
75.2,-0.121238424583791,-1.23394614357236,-0.13608795355387,-0.114666183897218,-0.469071160811959
75.3,-0.121042439320084,-1.23489403703719,-0.135896194333493,-0.114658391097511,-0.469427454139272
75.4,-0.120840455601335,-1.23585988013435,-0.135711500027233,-0.114650675460894,-0.469797524285137
75.5,-0.120604371689526,-1.23689247703907,-0.135546669424465,-0.114640697243265,-0.470179574166299
75.6,-0.120310972478608,-1.23803976872647,-0.135408438443015,-0.114625892983851,-0.470584015107139
75.7,-0.119968847253606,-1.23930251893594,-0.135283543686318,-0.114599448132016,-0.4710144924328
75.8,-0.119599309199276,-1.24063211571843,-0.135168464800304,-0.114560990796104,-0.471456697410161
75.9,-0.119223705023505,-1.24197818658169,-0.135060780492462,-0.114513147208589,-0.471896310466576
76,-0.118863381434173,-1.24329035903347,-0.134958069470279,-0.114458543601943,-0.472319012029399
76.1,-0.118517774206795,-1.24453476912177,-0.134861434961895,-0.114399104088124,-0.472725293971957
76.2,-0.118160259650309,-1.24575107770712,-0.134778499297405,-0.114310940584006,-0.473127017907119
76.3,-0.117809743709937,-1.24694906181859,-0.134700643070236,-0.114197391433929,-0.473520332582071
76.4,-0.117486767794471,-1.24813289004061,-0.134617757299895,-0.114080658535237,-0.473901296790791
76.5,-0.117211873312701,-1.2493067309576,-0.134519733005889,-0.113982943785278,-0.474265969327252
76.6,-0.117001790230527,-1.25046106534269,-0.134392868217154,-0.113926171314786,-0.474604904293406
76.7,-0.116841567804484,-1.25155460103283,-0.134221969605658,-0.113899606393918,-0.474918063305626
76.8,-0.116700639674906,-1.2526309580565,-0.134022307193506,-0.113882398966917,-0.475222908682859
76.9,-0.116548334773456,-1.25374392988137,-0.133812141364567,-0.113867647379291,-0.475537069491009
77,-0.116353982031799,-1.25494730997509,-0.133609732502714,-0.113848449976548,-0.475878174795981
77.1,-0.116042149181432,-1.25631710905969,-0.133428265165377,-0.113817772605245,-0.476270913486102
77.2,-0.115526318432263,-1.25795540981209,-0.133251393967241,-0.113729170556464,-0.476716652625608
77.3,-0.114930499323255,-1.25973514325277,-0.133077788144066,-0.113576431593513,-0.477180932871594
77.4,-0.114390567485191,-1.26150037869993,-0.132909964736393,-0.113399241537527,-0.477628747336773
77.5,-0.114042398548849,-1.26309518547178,-0.132750440784765,-0.11323728620964,-0.478025089133855
77.6,-0.113947165142318,-1.26438745698968,-0.132602430577453,-0.113130251430988,-0.478349011946249
77.7,-0.113904200283498,-1.26547233761692,-0.132469310836271,-0.113073588684244,-0.478627481434397
77.8,-0.113876219389168,-1.26644737853494,-0.132344198957753,-0.113030855331056,-0.478885390770434
77.9,-0.11384667784244,-1.26738850071086,-0.132218812888134,-0.11299473038178,-0.479147040244174
78,-0.113799031026427,-1.26837162511178,-0.132084870573649,-0.112957893377273,-0.479436730145429
78.1,-0.113686360269823,-1.26946184563736,-0.131933342951917,-0.11291302385839,-0.479774298107807
78.2,-0.113396384199383,-1.27061450202185,-0.131756990576568,-0.112855003750376,-0.480152136121103
78.3,-0.112981479381061,-1.27180925978128,-0.131566724635734,-0.11278750829848,-0.480553613544425
78.4,-0.112511853550311,-1.273043159426,-0.131376105517929,-0.112716330331806,-0.480962192962375
78.5,-0.112057714442587,-1.27431324146636,-0.131198693611666,-0.11264726166082,-0.481361336959552
78.6,-0.111666100752329,-1.27562183927034,-0.131046825559562,-0.112586094095991,-0.481740901480204
78.7,-0.111265448156393,-1.27701128271519,-0.130914682679746,-0.112536826966851,-0.482112961143796
