Temperature,DSC_an,DSC_anele,DSC_caan,DSC_ca,DSC_caele
73,-0.112615246602768,-1.15235550857551,-0.115572274788242,-0.0876433752593649,-0.817514542137157
73.1,-0.112285252753715,-1.15343545962706,-0.11543280827664,-0.0875973199816194,-0.790219941888419
73.2,-0.111979269208327,-1.15444582259175,-0.115300644234448,-0.0875260694269425,-0.764362198316214
73.3,-0.111682726349535,-1.15541687439851,-0.115168567675238,-0.0874369001799028,-0.739870416731632
73.4,-0.111380405956237,-1.15637941332063,-0.115029363612583,-0.0873372174712461,-0.71657991333185
73.5,-0.111057089807329,-1.15736423763141,-0.114875736052714,-0.0872344265317181,-0.694312598887807
73.6,-0.110703397154856,-1.1583958028037,-0.114692365175986,-0.0871263168872418,-0.67289087641901
73.7,-0.110331841482827,-1.15946078281018,-0.114485207264218,-0.0870020588278201,-0.652209304777747
73.8,-0.109939019668392,-1.16053467897989,-0.114273619268008,-0.0868683117837433,-0.632298657387913
73.9,-0.109519275166271,-1.16159319876919,-0.114076958137952,-0.0867321514035806,-0.613203543227583
74,-0.109066951431184,-1.16261204963445,-0.113914575569308,-0.0866006533359012,-0.59496857127484
74.1,-0.108561436311795,-1.16356777891446,-0.113791641839721,-0.086466283839483,-0.577537861027158
74.2,-0.107950028124413,-1.16446519606372,-0.113690799591607,-0.086312847113306,-0.560767135890962
74.3,-0.107283637265781,-1.16533574643588,-0.113596422451742,-0.086163087638054,-0.544704595457211
74.4,-0.106625759120759,-1.16621167333706,-0.113492884046906,-0.0860410460091116,-0.529403327247288
74.5,-0.106039889074205,-1.1671252200734,-0.113364558003873,-0.0859707628218636,-0.514905147009607
74.6,-0.105578190760708,-1.1681197311247,-0.113188726554948,-0.0859545529840935,-0.501112014241788
74.7,-0.105198525534833,-1.16922045384404,-0.112966991306057,-0.0859467826079107,-0.487953562763707
74.8,-0.104861156166803,-1.17035720238947,-0.112722773384429,-0.085941688893655,-0.47538567538849
74.9,-0.104534363211365,-1.1714534428276,-0.112479507520256,-0.0859360298836086,-0.463364236058464
75,-0.104186427223264,-1.17243264122506,-0.112260628443732,-0.0859265636200536,-0.451850560951939
75.1,-0.103788818047934,-1.17323157090621,-0.112075341599766,-0.0858998929841884,-0.440815352336022
75.2,-0.103350017324401,-1.17389189775757,-0.11190652035542,-0.0858328143746665,-0.430228908721242
75.3,-0.102886011494124,-1.17448613589533,-0.111743436972094,-0.0857423478559507,-0.420061528618132
75.4,-0.102409920557993,-1.17508458796202,-0.111575449702598,-0.0856479883091645,-0.410257427068366
75.5,-0.101934864516899,-1.17575755660019,-0.111391916799746,-0.085569230615432,-0.400743997465568
75.6,-0.101474168959758,-1.17656061392791,-0.111175982476497,-0.0855186810394049,-0.39160874790662
75.7,-0.101033287198094,-1.17746497984076,-0.11092690673174,-0.0854801541504932,-0.382952116786187
75.8,-0.100597547484192,-1.17845967627824,-0.110669146242706,-0.0854466818078547,-0.374864668132343
75.9,-0.1001498754364,-1.17953998951178,-0.110427443690267,-0.0854129361143165,-0.36725682637265
76,-0.0996731966730613,-1.18070120581284,-0.110226541755295,-0.0853735891727055,-0.360040713356797
76.1,-0.0991458164318932,-1.18197043837287,-0.110078845209541,-0.0853208121861112,-0.353165356176361
76.2,-0.098516789486073,-1.18346318707429,-0.109961454089787,-0.0852469024972176,-0.34657978192292
76.3,-0.0978265742474106,-1.18509395102581,-0.109857055812357,-0.085164407562315,-0.340233566067854
76.4,-0.0971389997686514,-1.18675054563884,-0.10974880276359,-0.0850876286884138,-0.334117970458584
76.5,-0.0965178951025409,-1.18832078632482,-0.109619847329825,-0.0850308671825246,-0.328260613776111
76.6,-0.0960240750172705,-1.18970687150705,-0.109453826881284,-0.0850037546410518,-0.322689821277745
76.7,-0.0956414215682423,-1.19094929061265,-0.109250964862277,-0.08498888666404,-0.317434229969079
76.8,-0.0953155671503824,-1.1921270364495,-0.109025273659513,-0.0849785225959761,-0.312501780870218
76.9,-0.0950003308183699,-1.19331350484444,-0.108791036659959,-0.0849676614300259,-0.307825990194832
77,-0.0946495316268838,-1.1945820916243,-0.108562537250582,-0.0849513021593554,-0.303326815850615
77.1,-0.09421583802926,-1.19600804773717,-0.108347295545397,-0.0849146868592454,-0.29892421574526
77.2,-0.0936540519754381,-1.19761952496583,-0.108133071384697,-0.0848079609651744,-0.294504725132634
77.3,-0.0930001996706906,-1.19934188404587,-0.107919147427662,-0.0846571627342791,-0.290083914879013
77.4,-0.0923104805206424,-1.20109117254349,-0.107705877763063,-0.0845007855617591,-0.28583722954147
77.5,-0.0916410939309191,-1.2027834380249,-0.107493616479671,-0.0843773228428141,-0.281941583696588
