Temperature,DSC_an,DSC_anele,DSC_caan,DSC_ca,DSC_caele
73,-0.0605531562920846,-0.301766342900755,-0.0545513447571976,-0.0702014260663315,-0.431055269337589
73.1,-0.0608935482555134,-0.297585885119146,-0.0544869322903991,-0.0703509104397372,-0.431326662546837
73.2,-0.0613095995572303,-0.293934662205049,-0.0544100257505064,-0.070593313460848,-0.431575743889073
73.3,-0.0616211689155969,-0.290853001498771,-0.0543518612083205,-0.0708482451461901,-0.431798695880932
73.4,-0.0616648557526179,-0.288129108045348,-0.0543376263116805,-0.0710351535105039,-0.43199797487224
73.5,-0.0614988277104589,-0.285568430934081,-0.0543348321056362,-0.0711262026044133,-0.432179256450212
73.6,-0.061235004702178,-0.282976419254265,-0.0543328050218009,-0.0712028175609059,-0.432348235703633
73.7,-0.0609664930545335,-0.280279106145543,-0.0543315867168818,-0.0712614806749071,-0.432510607721289
73.8,-0.0607860104412877,-0.27761538096932,-0.0543313551875164,-0.0712941129815294,-0.432672067591966
73.9,-0.0606935127447276,-0.274939741851457,-0.0543527012225178,-0.0712827656903316,-0.432838310404449
74,-0.0606269439206418,-0.272199141111188,-0.0543965108127965,-0.0711911206971762,-0.433015031247524
74.1,-0.0605586057953966,-0.269258910197372,-0.0544428163536615,-0.0710635805414741,-0.433207925209977
74.2,-0.0604608001953588,-0.265880392009938,-0.054471650240422,-0.0709546121324844,-0.433422687380594
74.3,-0.0602675019654455,-0.262495725135204,-0.0544401243733644,-0.0709165228018983,-0.433666379236498
74.4,-0.0599354695166126,-0.259612580749015,-0.0542981258927623,-0.0709126987982416,-0.43394985366734
74.5,-0.0595456752101665,-0.257699089204644,-0.054111997474473,-0.0709098836761326,-0.434268508037509
74.6,-0.0591818707954672,-0.256459424953595,-0.0539553404218001,-0.0709081188362363,-0.434615216077562
74.7,-0.058907438510958,-0.25549493904602,-0.0538969483516015,-0.0709074456792179,-0.434982851518056
74.8,-0.0586365435819977,-0.254538447667803,-0.0538842428899387,-0.0710358603885459,-0.435364288089547
74.9,-0.058385602420036,-0.253322767004831,-0.0538765273596084,-0.0713746692722471,-0.435752399522592
75,-0.0582021328509457,-0.251609528831006,-0.0538690264542675,-0.071751039470831,-0.436140059547746
75.1,-0.058133736351793,-0.249490218323879,-0.0538569648675729,-0.0719902671941456,-0.436520141895568
75.2,-0.05828883689238,-0.247210505781361,-0.0538358754809922,-0.0719562670941917,-0.436885520296613
75.3,-0.0586238220805551,-0.245016234607136,-0.0538050366366043,-0.0717342477193801,-0.43722963426055
75.4,-0.0589744136993428,-0.243035756068425,-0.0537654408100603,-0.071445816478283,-0.437561269793713
75.5,-0.0591763335317678,-0.240978775296758,-0.053718081480306,-0.0712085164970695,-0.437886941885119
75.6,-0.0591572029355686,-0.239031189508153,-0.0536501293947653,-0.0711403784539305,-0.438208137143568
75.7,-0.059058093536915,-0.237446036884088,-0.0535283433607312,-0.07131602718578,-0.438526342177859
75.8,-0.0589144972663815,-0.236447476737861,-0.0533901779116551,-0.0716411676010475,-0.438843043596793
75.9,-0.0587561603046439,-0.235820225940316,-0.0532793072785523,-0.0719874782175822,-0.43915972800917
76,-0.0586109293247536,-0.235343604717859,-0.0532391076988651,-0.0722266375532331,-0.439477882023788
76.1,-0.0584660038892749,-0.234870086207907,-0.0532590464169751,-0.0723449873650971,-0.439798992249448
76.2,-0.0583099667221782,-0.234252143547876,-0.0533027439742712,-0.0724433376297112,-0.440124545294949
76.3,-0.0581412555024883,-0.233347711742356,-0.0533563462905204,-0.0725216412448089,-0.440456027382784
76.4,-0.0579583079092297,-0.232213646945676,-0.05340599928549,-0.0725793058076811,-0.440793306346536
76.5,-0.0577548306077826,-0.231008079736665,-0.0534454967770357,-0.0726193291254905,-0.441134851560086
76.6,-0.0575275985222373,-0.229889173873367,-0.0534886449766021,-0.0726547021345211,-0.441479924551417
76.7,-0.0572836678605278,-0.228970086801208,-0.0535283675067082,-0.0726837443894196,-0.441827786848512
76.8,-0.0570301677238676,-0.228148621078209,-0.0535556516594993,-0.0727031062702068,-0.44217769997935
76.9,-0.0567673128493887,-0.227378037476936,-0.0535549915683568,-0.0727092426638106,-0.442528925471915
77,-0.0564537091330248,-0.226624917991302,-0.0534200629553174,-0.072671263590508,-0.442880724854188
77.1,-0.0561253423855573,-0.225857671635579,-0.053185463356201,-0.0725931111809765,-0.44323235965415
77.2,-0.0558365906749561,-0.225123559315718,-0.0529421328607677,-0.0725100252038379,-0.443583091399784
77.3,-0.0556418320691916,-0.224411766019494,-0.0527810115587775,-0.0724572454277141,-0.443932181619071
77.4,-0.055540860418472,-0.223660243718205,-0.0527350240035594,-0.0724661440643877,-0.444279076971276
77.5,-0.0554738822545315,-0.222806944383148,-0.0527096375050318,-0.0725272070817233,-0.444624185918638
77.6,-0.0554136323036196,-0.221721544546483,-0.0526900763124839,-0.0726068751842979,-0.444968192753414
77.7,-0.055332885262975,-0.220383915635101,-0.0526658466558919,-0.0726713209444041,-0.445311779909666
77.8,-0.0551789111949809,-0.218996572471648,-0.0526228096263699,-0.0726879546567374,-0.445655629821454
77.9,-0.0548523328455188,-0.217764528479022,-0.052533986727599,-0.0726623605812379,-0.446000424922841
78,-0.0544635689696823,-0.216853994040036,-0.0524259418675482,-0.0726190133897851,-0.446346847647888
78.1,-0.0541491231406561,-0.216124266572453,-0.0523355345550447,-0.0725772099475456,-0.446695580430658
78.2,-0.0540459727906424,-0.215484639158369,-0.0522995587635526,-0.0725562471196861,-0.44704730570521
78.3,-0.0542545672193391,-0.214877115489185,-0.0523034591198793,-0.0726437163174962,-0.447402705905608
78.4,-0.0546619299596338,-0.214243699256301,-0.0523120263275032,-0.0728805091196055,-0.447762088228258
78.5,-0.0550996132898332,-0.213526840048225,-0.0523215711759128,-0.0731575140988719,-0.448124225355044
78.6,-0.0553991694882442,-0.212763995796142,-0.0523284044545963,-0.0733645609069197,-0.448488913904086
78.7,-0.0554323128852881,-0.21204562239262,-0.0523245825455599,-0.0733953495920137,-0.448856112833933
78.8,-0.0553522419844434,-0.211462217518303,-0.0522795552396812,-0.0732457281791152,-0.449225781103136
78.9,-0.055236837781372,-0.211085412746437,-0.0522027703831109,-0.0730094970960965,-0.449597877670245
79,-0.0551327829876755,-0.210838530966621,-0.0521123316045739,-0.0727828893097578,-0.449972361493812
